,phrase,label,sentiment,subjectivity,language,count
Leyen,Leyen,LOC,0.4666666666666666,0.0,de,3
Italiens,Italiens,LOC,0.4666666666666666,0.0,de,3
Steiermark,Steiermark,LOC,-0.10000000000000002,0.0,de,3
Qatar,Qatar,LOC,-0.43333333333333335,0.0,de,3
Bornholm,Bornholm,LOC,0.0,0.0,de,3
Arosa,Arosa,LOC,0.0,0.0,de,3
Knappes,Knappes,LOC,0.0,0.0,de,3
Oberösterreich,Oberösterreich,LOC,0.2333333333333333,0.0,de,3
Moldawien,Moldawien,LOC,0.2333333333333333,0.0,de,3
NRW,NRW,LOC,0.2333333333333333,0.0,de,3
Charkiw,Charkiw,LOC,0.2333333333333333,0.0,de,3
Winterthur,Winterthur,LOC,0.0,0.0,de,3
Lauterbach,Lauterbach,LOC,-0.4666666666666666,0.0,de,3
Niederlande,Niederlande,LOC,0.0,0.0,de,3
Frankreich.,Frankreich.,LOC,0.0,0.6666666666666666,de,3
Scholz,Scholz,LOC,0.6666666666666666,0.0,de,3
Gasspeicherverband,Gasspeicherverband,LOC,0.0,0.0,de,3
Brandenburg.,Brandenburg.,LOC,0.0,0.0,de,3
Corona-Jahren,Corona-Jahren,LOC,0.0,0.0,de,3
Bundes,Bundes,LOC,0.0,0.0,de,3
Gladbach,Gladbach,LOC,0.0,0.0,de,3
Enercity,Enercity,LOC,0.0,1.0,de,3
Sa…,Sa…,LOC,0.0,0.0,de,3
Bulgariens,Bulgariens,LOC,0.4666666666666666,0.0,de,3
Frankreichs,Frankreichs,LOC,-0.16666666666666666,0.0,de,3
Moldau,Moldau,LOC,-0.3333333333333333,0.0,de,3
Hessen,Hessen,LOC,0.2333333333333333,0.0,de,3
Umweltbundesamt,Umweltbundesamt,LOC,0.0,0.0,de,3
Zürs,Zürs,LOC,0.0,0.0,de,3
Fürstenfeldbruck,Fürstenfeldbruck,LOC,0.0,0.0,de,3
Marathonverhandlungen,Marathonverhandlungen,LOC,0.0,0.0,de,3
Chinas,Chinas,LOC,0.0,0.0,de,3
Niedergailbach,Niedergailbach,LOC,0.0,0.0,de,3
Dresden,Dresden,LOC,0.0,0.0,de,3
Schwedens,Schwedens,LOC,0.0,0.0,de,3
Gas-Austritt,Gas-Austritt,LOC,0.0,0.0,de,3
Vaterstetten,Vaterstetten,LOC,0.2333333333333333,0.0,de,3
Mars,Mars,LOC,0.2333333333333333,0.0,de,3
Bundesanwaltschaft.,Bundesanwaltschaft.,LOC,0.0,0.0,de,2
Temperatureinflüsse.,Temperatureinflüsse.,LOC,0.0,1.0,de,2
Nord Stream-Pipelines,Nord Stream-Pipelines,LOC,0.0,0.0,de,2
Gaskonzerne,Gaskonzerne,LOC,0.0,0.0,de,2
Rügen,Rügen,LOC,-0.375,0.25,de,2
Russland?,Russland?,LOC,0.0,0.0,de,2
Brauneck-Bergbahn,Brauneck-Bergbahn,LOC,0.0,1.0,de,2
Einsparpotenzial,Einsparpotenzial,LOC,0.0,0.0,de,2
Haidach,Haidach,LOC,0.0,0.0,de,2
Bayreuth,Bayreuth,LOC,0.0,0.0,de,2
Brunsbüttel.,Brunsbüttel.,LOC,0.0,0.0,de,2
Gasag-Tochter,Gasag-Tochter,LOC,0.0,0.0,de,2
Balkanroute,Balkanroute,LOC,-0.5,0.0,de,2
Privacy Center,Privacy Center,LOC,0.0,0.0,de,2
federiko,federiko,LOC,0.0,0.0,de,2
Kalte,Kalte,LOC,-0.35,0.0,de,2
Linz,Linz,LOC,-0.925,0.0,de,2
Bonn,Bonn,LOC,0.0,0.0,de,2
Airbnb,Airbnb,LOC,0.0,0.0,de,2
Sommerquartal,Sommerquartal,LOC,-0.35,0.0,de,2
Konzerns.,Konzerns.,LOC,0.0,0.0,de,2
Ersatzheizungen,Ersatzheizungen,LOC,0.0,0.0,de,2
Irlands,Irlands,LOC,0.0,0.0,de,2
Kopernikus-Projekt Ariadne,Kopernikus-Projekt Ariadne,LOC,0.0,0.0,de,2
"Wilhelmshaven, Brunsbüttel","Wilhelmshaven, Brunsbüttel",LOC,0.0,0.0,de,2
Baden-Württemberg,Baden-Württemberg,LOC,0.0,0.0,de,2
EU-Land,EU-Land,LOC,0.0,0.0,de,2
Energieeffizienz,Energieeffizienz,LOC,0.0,0.0,de,2
Deutsche Bundesanwaltschaft,Deutsche Bundesanwaltschaft,LOC,0.0,0.0,de,2
Vorarlberg,Vorarlberg,LOC,0.0,0.0,de,2
Wetter: Erster Schnee,Wetter: Erster Schnee,LOC,0.0,0.0,de,2
Medizinischen Katastrophen-Hilfswerks,Medizinischen Katastrophen-Hilfswerks,LOC,0.0,0.0,de,2
BRD,BRD,LOC,0.35,0.0,de,2
Erdgas-Ressourcen,Erdgas-Ressourcen,LOC,0.0,0.0,de,2
Sauerland,Sauerland,LOC,-0.35,0.0,de,2
Fracking-Methode,Fracking-Methode,LOC,0.7,0.0,de,2
Simmering,Simmering,LOC,0.0,0.0,de,2
Mittwoch.,Mittwoch.,LOC,0.35,0.0,de,2
Globus?,Globus?,LOC,0.0,0.0,de,2
Warmwasser,Warmwasser,LOC,0.7,0.0,de,2
Tausende Gaslaternen,Tausende Gaslaternen,LOC,0.7,0.0,de,2
Nord-Stream-Gaspipelines: ,Nord-Stream-Gaspipelines: ,LOC,0.0,0.0,de,2
Atomdeal,Atomdeal,LOC,0.0,0.0,de,2
Asiens,Asiens,LOC,-0.3333333333333333,0.0,de,2
Vorachstraße,Vorachstraße,LOC,0.0,0.0,de,2
Ludwigshafen,Ludwigshafen,LOC,0.5,0.0,de,2
Berliner Abgeordnetenhaus,Berliner Abgeordnetenhaus,LOC,0.0,0.0,de,2
Reichen-Abgabe,Reichen-Abgabe,LOC,1.0,0.0,de,2
Großhandelsplatz,Großhandelsplatz,LOC,-0.35,0.0,de,2
Asien,Asien,LOC,-0.5,0.0,de,2
Teuer-Winter,Teuer-Winter,LOC,0.7,0.0,de,2
Schlossgemächern,Schlossgemächern,LOC,0.0,0.0,de,2
Bremer,Bremer,LOC,-0.35,0.0,de,2
Niedersachsen.,Niedersachsen.,LOC,0.35,0.0,de,2
Schiefergestein,Schiefergestein,LOC,0.7,0.0,de,2
Bayreuth: Gasaustritt,Bayreuth: Gasaustritt,LOC,0.0,0.0,de,2
Gaspipelines,Gaspipelines,LOC,0.0,0.0,de,2
Bergischen Land,Bergischen Land,LOC,-0.35,0.0,de,2
Athen,Athen,LOC,0.35,0.0,de,2
IEA-Chef,IEA-Chef,LOC,0.5,0.0,de,2
Gasbreisbremse,Gasbreisbremse,LOC,0.0,1.0,de,2
Lieferroute,Lieferroute,LOC,0.0,1.0,de,2
VAE,VAE,LOC,-0.35,0.0,de,2
Fifa,Fifa,LOC,0.25,0.25,de,2
Ostsee-Insel,Ostsee-Insel,LOC,0.0,0.0,de,2
Landkreises Starnberg,Landkreises Starnberg,LOC,-0.85,0.0,de,2
Café-Betreibern,Café-Betreibern,LOC,0.27499999999999997,0.0,de,2
Saltiwka,Saltiwka,LOC,0.0,0.0,de,2
Catering-Firmen,Catering-Firmen,LOC,0.27499999999999997,0.0,de,2
Charkiws,Charkiws,LOC,0.0,0.0,de,2
Archangelsk,Archangelsk,LOC,-0.5,0.0,de,2
Hörnli,Hörnli,LOC,-0.35,0.0,de,2
Land Berlin,Land Berlin,LOC,0.0,1.0,de,2
Georg-Scherer-Halle,Georg-Scherer-Halle,LOC,0.0,0.0,de,2
Skihänge,Skihänge,LOC,0.0,1.0,de,2
Nord Stream Pipelines.,Nord Stream Pipelines.,LOC,0.35,0.0,de,2
Feldberg im Südschwarzwald,Feldberg im Südschwarzwald,LOC,0.7,0.0,de,2
Saudi-Arabien,Saudi-Arabien,LOC,0.25,0.2,de,2
Südfrankreich,Südfrankreich,LOC,0.0,0.0,de,2
Moldaus,Moldaus,LOC,-1.0,0.0,de,2
Krim,Krim,LOC,0.0,0.0,de,2
Drohnenangriffen,Drohnenangriffen,LOC,0.0,0.0,de,2
Minustemperaturen,Minustemperaturen,LOC,0.0,0.0,de,2
Mehrfamilienhaus an der Planegger Straße,Mehrfamilienhaus an der Planegger Straße,LOC,0.35,0.0,de,2
Schauer,Schauer,LOC,1.0,0.0,de,2
Nahverkehrsticket,Nahverkehrsticket,LOC,0.0,0.0,de,2
Tausenden Wärmestuben,Tausenden Wärmestuben,LOC,0.0,0.0,de,2
Neustadt bei Coburg,Neustadt bei Coburg,LOC,1.0,0.0,de,2
Mengen,Mengen,LOC,0.7,0.0,de,2
Dänemarks.,Dänemarks.,LOC,0.0,0.0,de,2
Garmisch,Garmisch,LOC,0.0,0.0,de,2
Vierschanzen-Tournee,Vierschanzen-Tournee,LOC,0.0,0.0,de,2
Oberstdorf,Oberstdorf,LOC,0.0,0.0,de,2
Bobrennen,Bobrennen,LOC,0.0,0.0,de,2
Winterberg.,Winterberg.,LOC,0.0,0.0,de,2
Bundestags-Vizepräsidentin,Bundestags-Vizepräsidentin,LOC,-0.5,0.0,de,2
Nordrhein-Westfalens,Nordrhein-Westfalens,LOC,-0.5,0.0,de,2
Berlin.,Berlin.,LOC,0.0,0.0,de,2
Niedersachsens,Niedersachsens,LOC,-0.35,0.0,de,2
Lieferkürzungen,Lieferkürzungen,LOC,-1.0,0.0,de,2
Limmathauses,Limmathauses,LOC,0.0,0.5,de,2
Impact Hub,Impact Hub,LOC,0.0,0.5,de,2
Reißleine,Reißleine,LOC,0.0,0.0,de,2
Nordafrika.,Nordafrika.,LOC,0.0,0.0,de,2
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.0,0.0,de,2
Finanztip-Chef,Finanztip-Chef,LOC,0.7,0.0,de,2
Energiekrise.,Energiekrise.,LOC,0.0,0.0,de,2
Union,Union,LOC,0.0,0.5,de,2
Ukraine-Krieg,Ukraine-Krieg,LOC,0.0,0.0,de,2
Wilhelmshaven.,Wilhelmshaven.,LOC,0.0,0.0,de,2
Fracking-Gas,Fracking-Gas,LOC,0.35,0.0,de,2
Black-Friday-Angebote.,Black-Friday-Angebote.,LOC,0.0,0.0,de,2
Maskenpflicht,Maskenpflicht,LOC,0.0,0.0,de,2
Landkreis Ebersberg,Landkreis Ebersberg,LOC,0.0,1.0,de,2
Gas-Einkauf,Gas-Einkauf,LOC,0.7,0.0,de,2
Cirque du Soleil,Cirque du Soleil,LOC,0.0,0.0,de,2
Stimmungsvolles,Stimmungsvolles,LOC,0.0,0.0,de,2
Bayern,Bayern,LOC,-0.35,0.0,de,2
Nord Stream:,Nord Stream:,LOC,-0.5,0.0,de,2
Emirat,Emirat,LOC,0.0,1.0,de,2
Richtwertmieten,Richtwertmieten,LOC,0.0,0.0,de,2
Afrikas,Afrikas,LOC,0.35,0.0,de,2
Rumäniens,Rumäniens,LOC,0.7,0.0,de,2
GTT,GTT,LOC,0.0,0.0,de,2
Rhein-Hunsrück-Kreis,Rhein-Hunsrück-Kreis,LOC,0.0,0.0,de,2
Salzburg,Salzburg,LOC,0.0,0.0,de,2
Vereinigten Staaten,Vereinigten Staaten,LOC,0.0,0.0,de,2
Feldheim,Feldheim,LOC,-0.175,0.25,de,2
Technigaz,Technigaz,LOC,0.0,0.0,de,2
Landkreis Fürth,Landkreis Fürth,LOC,-1.0,0.0,de,2
Halle,Halle,LOC,-0.35,0.0,de-DE,2
Metertiefe Krater,Metertiefe Krater,LOC,0.0,0.0,de,2
Energiepreisbremsen,Energiepreisbremsen,LOC,0.0,0.0,de,2
Winters,Winters,LOC,1.0,0.0,de,2
Furtwangen,Furtwangen,LOC,0.0,0.0,de,2
Ostseebad,Ostseebad,LOC,0.125,0.0,de,2
Potsdam,Potsdam,LOC,0.0,1.0,de,2
New York,New York,LOC,0.0,1.0,de,2
Gullydeckeln,Gullydeckeln,LOC,0.0,1.0,de,2
Rekordniveaus,Rekordniveaus,LOC,0.0,0.0,de,2
Scharm el Scheich.,Scharm el Scheich.,LOC,0.0,0.0,de,2
Flüssigerdgas-Terminals,Flüssigerdgas-Terminals,LOC,-0.5,0.0,de,2
Japans,Japans,LOC,-0.35,0.0,de,2
Brüssel:,Brüssel:,LOC,0.0,0.0,de,2
Stadt Penzberg.,Stadt Penzberg.,LOC,0.25,0.25,de,2
lärmgeplagten,lärmgeplagten,LOC,0.25,0.25,de,2
"Hannis Eismärchen"" freuen werden","Hannis Eismärchen"" freuen werden",LOC,0.25,0.25,de,2
Grönland,Grönland,LOC,-0.35,0.0,de,2
Bußprediger.,Bußprediger.,LOC,0.0,0.0,de,2
Pipeline,Pipeline,LOC,0.0,0.0,de,2
Strom- und Gassperrungen,Strom- und Gassperrungen,LOC,0.0,0.0,de,2
Urlaub,Urlaub,LOC,0.35,0.0,de,2
Staat Bürgerinnen und Bürger,Staat Bürgerinnen und Bürger,LOC,0.7,0.0,de,2
MÃ¼nchner,MÃ¼nchner,LOC,0.0,0.0,de,2
Mitteldeutschland,Mitteldeutschland,LOC,0.0,0.0,de,2
Antarktis,Antarktis,LOC,0.0,0.0,de,2
Laden am Rathaus,Laden am Rathaus,LOC,-0.35,0.0,de,2
Elstal,Elstal,LOC,0.0,0.0,de,2
EU-Kommissionschefin,EU-Kommissionschefin,LOC,0.0,0.0,de,2
Sachsen-Anhalt!,Sachsen-Anhalt!,LOC,0.0,0.0,de,2
Neuschnee,Neuschnee,LOC,0.0,0.0,de,2
Spaniens Küste,Spaniens Küste,LOC,-0.07500000000000001,0.0,de,2
Strompreisbremsen,Strompreisbremsen,LOC,-0.35,0.0,de,2
Qatar.,Qatar.,LOC,-0.18333333333333332,0.0,de,2
Kochkiste,Kochkiste,LOC,-0.11666666666666665,0.5833333333333333,de,2
Flüssiggas-Terminals,Flüssiggas-Terminals,LOC,0.0,0.0,de,2
Rom,Rom,LOC,0.0,0.0,de,2
Draußen,Draußen,LOC,-1.0,0.0,de,2
Allianz-Campus,Allianz-Campus,LOC,0.35,0.0,de,2
Wetter: Schnee,Wetter: Schnee,LOC,0.0,0.0,de,2
Nord-Stream-Lecks,Nord-Stream-Lecks,LOC,0.0,0.5,de,2
Behördenangaben,Behördenangaben,LOC,0.7,0.0,de,2
Nord Stream,Nord Stream,LOC,0.35,0.0,de,2
Thüringens,Thüringens,LOC,0.7,0.0,de,2
EU-Staaten,EU-Staaten,LOC,0.0,1.0,de,2
Kurses,Kurses,LOC,0.75,0.25,de,2
eO,eO,LOC,0.0,0.0,de,2
Wechsel-Saison,Wechsel-Saison,LOC,0.0,0.0,de,2
Bund-Länder-Gipfel,Bund-Länder-Gipfel,LOC,0.7,0.0,de,2
Sharm El-Sheikh,Sharm El-Sheikh,LOC,0.0,0.0,de,2
Verkehrsministerium,Verkehrsministerium,LOC,0.0,0.0,de,2
Schwäbischen Alb,Schwäbischen Alb,LOC,0.0,0.0,de,2
Konusnebel,Konusnebel,LOC,0.0,0.0,de,1
Afrika,Afrika,LOC,0.0,0.0,de,1
Spar-Experten,Spar-Experten,LOC,0.0,0.0,de,1
Klimaabgabe,Klimaabgabe,LOC,0.0,0.0,de,1
Wetter: Deutscher Wetterdienst,Wetter: Deutscher Wetterdienst,LOC,1.0,0.0,de,1
Andrea Beer.</em,Andrea Beer.</em,LOC,-1.0,0.0,de,1
Pankow,Pankow,LOC,0.0,0.0,de,1
Wetter: Milde Temperaturen,Wetter: Milde Temperaturen,LOC,0.0,0.0,de,1
"Nordbayerischer Kurier
</li><li>","Nordbayerischer Kurier
</li><li>",LOC,0.76,0.0,de,1
Umwelt:,Umwelt:,LOC,0.0,0.0,de,1
Strompreise-Bremse,Strompreise-Bremse,LOC,0.0,0.0,de,1
Nachts Frost,Nachts Frost,LOC,0.0,0.0,de,1
Gas-Kartelle,Gas-Kartelle,LOC,0.7,0.0,de,1
Zeche für das Kartellge…,Zeche für das Kartellge…,LOC,0.0,0.0,de,1
europäischen Küste,europäischen Küste,LOC,0.7,0.0,de,1
Bezirk Pankow,Bezirk Pankow,LOC,0.0,1.0,de,1
Erdgasspeicher,Erdgasspeicher,LOC,0.0,0.0,de,1
Produktionsdrosselungen bei gasintensiven,Produktionsdrosselungen bei gasintensiven,LOC,0.0,0.0,de,1
Berlin-Brandenburg,Berlin-Brandenburg,LOC,0.0,0.0,de,1
d…,d…,LOC,0.0,0.0,de,1
Bundesfinanzministerium,Bundesfinanzministerium,LOC,0.7,0.0,de,1
Zürich,Zürich,LOC,0.0,0.0,de,1
Limmathaus,Limmathaus,LOC,0.0,0.0,de,1
7.10..,7.10..,LOC,0.0,0.0,de,1
Winter?,Winter?,LOC,0.0,1.0,de,1
Land Schleswig-Holstein,Land Schleswig-Holstein,LOC,0.0,0.0,de,1
Stein?,Stein?,LOC,0.0,0.0,de,1
Westeuropas,Westeuropas,LOC,0.0,1.0,de,1
Augsburg,Augsburg,LOC,1.0,0.0,de,1
Wintertourismus: Wenn guter Schnee,Wintertourismus: Wenn guter Schnee,LOC,1.0,0.0,de,1
Kriegsgeschäfte,Kriegsgeschäfte,LOC,0.0,0.0,de,1
Großmarkt,Großmarkt,LOC,0.7,0.0,de,1
Zürich:,Zürich:,LOC,0.0,0.0,de,1
200 Winterthurer,200 Winterthurer,LOC,0.0,0.0,de,1
Rosengarten,Rosengarten,LOC,0.0,0.0,de,1
Check-Pflicht,Check-Pflicht,LOC,0.0,0.0,de,1
Grüntal,Grüntal,LOC,1.0,0.0,de,1
Gastronom,Gastronom,LOC,-1.0,0.0,de,1
Coburg,Coburg,LOC,-1.0,0.0,de,1
Süddeutschland.,Süddeutschland.,LOC,0.0,0.0,de,1
Burgenland,Burgenland,LOC,0.0,0.0,de,1
Ostukraine,Ostukraine,LOC,0.0,0.0,de,1
Slowjansk,Slowjansk,LOC,0.0,0.0,de,1
Gas-Speicherstand,Gas-Speicherstand,LOC,-1.0,0.0,de,1
Wetter:,Wetter:,LOC,0.0,0.0,de,1
Winter-Vorboten,Winter-Vorboten,LOC,0.0,0.0,de,1
Schnee,Schnee,LOC,0.0,0.0,de,1
Wisła,Wisła,LOC,0.0,0.0,de,1
Wetter: Brocken,Wetter: Brocken,LOC,-0.7,0.0,de,1
Adam-Malysz-Schanze,Adam-Malysz-Schanze,LOC,0.0,0.0,de,1
Afrika!,Afrika!,LOC,0.0,1.0,de,1
"Peking
""Scholz","Peking
""Scholz",LOC,0.0,0.0,de,1
milder,milder,LOC,0.0,0.0,de,1
Germering: Gasgeruch,Germering: Gasgeruch,LOC,0.0,0.0,de,1
Wetter: Erneut Schnee,Wetter: Erneut Schnee,LOC,0.0,0.0,de,1
bayerischen Alpen,bayerischen Alpen,LOC,0.0,0.0,de,1
Dortmund,Dortmund,LOC,0.0,0.0,de,1
Nicht-Nationalspieler,Nicht-Nationalspieler,LOC,0.0,0.0,de,1
Berliner Eis-Tresen:,Berliner Eis-Tresen:,LOC,-0.7,0.0,de,1
Essener Energ…,Essener Energ…,LOC,0.0,0.0,de,1
Abfahrtsdoppel,Abfahrtsdoppel,LOC,-0.7,0.0,de,1
Matterhorn,Matterhorn,LOC,-0.7,0.0,de,1
Klimaaktivisten,Klimaaktivisten,LOC,-1.0,0.0,de,1
Worbis,Worbis,LOC,0.0,0.0,de,1
Unsplash,Unsplash,LOC,0.0,0.0,de,1
COP27,COP27,LOC,0.7,0.0,de,1
Gaswärmepumpen,Gaswärmepumpen,LOC,0.7,0.0,de,1
Gas-Pläne,Gas-Pläne,LOC,0.0,0.0,de,1
Lui Knoll.</em,Lui Knoll.</em,LOC,0.0,0.0,de,1
Erdgaspläne,Erdgaspläne,LOC,0.0,0.0,de,1
Cop27,Cop27,LOC,-0.7,0.0,de,1
Flüssiggaspläne,Flüssiggaspläne,LOC,0.0,0.0,de,1
Zürich: Dutzende von Velofahrern,Zürich: Dutzende von Velofahrern,LOC,0.0,0.0,de,1
Donnerstagmorgen,Donnerstagmorgen,LOC,0.0,0.0,de,1
Hauptbahnhof,Hauptbahnhof,LOC,0.0,0.0,de,1
Flüssiggas.,Flüssiggas.,LOC,-0.10000000000000002,0.3333333333333333,de,1
Val d’Isere komplexe Verletzungen,Val d’Isere komplexe Verletzungen,LOC,-0.7,0.0,de,1
Kernkraftwerks Civaux.,Kernkraftwerks Civaux.,LOC,0.0,0.0,de,1
Florida,Florida,LOC,-0.7,0.0,de,1
Land Salzburg,Land Salzburg,LOC,1.0,0.0,de,1
Magdeburg.,Magdeburg.,LOC,0.7,0.0,de,1
Lörrach: Skifahren am Feldberg,Lörrach: Skifahren am Feldberg,LOC,0.0,0.0,de,1
Hochprozentiges,Hochprozentiges,LOC,-0.7,0.0,de,1
Todtnau,Todtnau,LOC,0.7,0.0,de,1
Kärntner Tourismus,Kärntner Tourismus,LOC,0.0,1.0,de,1
Europas Küste,Europas Küste,LOC,0.0,1.0,de,1
Langsamfahrt,Langsamfahrt,LOC,0.0,1.0,de,1
Salzkammergut.,Salzkammergut.,LOC,0.0,0.0,de,1
Milliarden-Entlastungen,Milliarden-Entlastungen,LOC,0.0,0.0,de,1
Corona-Krise.,Corona-Krise.,LOC,0.0,0.0,de,1
Energienot,Energienot,LOC,0.0,0.0,de,1
Raketenterror: Kiew,Raketenterror: Kiew,LOC,0.15000000000000002,0.0,de,1
Europa.,Europa.,LOC,0.0,0.0,de,1
Sharm El…,Sharm El…,LOC,0.0,0.0,de,1
Wertstoffzentrum,Wertstoffzentrum,LOC,0.0,0.0,de,1
Wiener Netzte,Wiener Netzte,LOC,0.0,0.0,de,1
Eisfischer,Eisfischer,LOC,-0.7,0.0,de,1
