domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.00862962962962963,0.13967607436147614,0.018098765432098766,0.06331701903092077,135.0
www.stern.de,0.044968749999999995,0.2310433414368449,0.07607638888888889,0.13575080774637382,120.0
www.spiegel.de,0.06067078754578754,0.16913648017864408,0.08760531135531137,0.12066345768545543,104.0
www.morgenpost.de,0.0153111691831204,0.14936344019760522,0.09616482771970576,0.12379145735309535,82.0
www.welt.de,0.03507549361207897,0.247366604485548,0.07565185830429733,0.10013460123529165,82.0
www.n-tv.de,0.029284812409812407,0.23498532570966718,0.08176823176823177,0.1350806968556111,78.0
www.faz.net,0.017623224728487884,0.20189476132213463,0.07254072681704261,0.12445638945845187,76.0
www.tagesschau.de,-0.014552313883299804,0.255643069108138,0.10341493404873686,0.18063822182334244,71.0
www.focus.de,0.04631390056022408,0.25824544323387194,0.06852240896358544,0.14003722724967624,68.0
www.handelsblatt.com,0.0725118455342336,0.2434561626780495,0.09265695332859512,0.14695885109133733,67.0
www.sueddeutsche.de,0.07523384353741495,0.25581938451866587,0.048065476190476186,0.12051018515391025,56.0
www.tagesspiegel.de,-0.06546506000774294,0.22128910205096702,0.10548780487804879,0.15418479348497835,41.0
www.wiwo.de,-0.02280459030459031,0.26191493855055875,0.06441441441441441,0.10431745842442737,37.0
www.heise.de,0.048182539682539674,0.2496078986537624,0.059722222222222225,0.12406901068565013,30.0
www.bild.de,0.0434090909090909,0.1519638279375173,0.01168831168831169,0.04378504868741224,22.0
orf.at,0.10888888888888888,0.27087016843526374,0.012698412698412698,0.04146777929400994,21.0
www.diepresse.com,0.07261904761904761,0.30101785596892017,0.06833333333333333,0.17184073954124462,20.0
www.dw.com,-0.07998538011695906,0.17713411820037933,0.039766081871345026,0.07989325778964444,19.0
www.nzz.ch,0.008869047619047617,0.14631980115606638,0.07222222222222223,0.11729522554068653,18.0
de.rt.com,0.022634920634920636,0.17900535637653148,0.02333333333333333,0.06778818551368739,15.0
www.brigitte.de,0.1165,0.16857097270736193,0.047,0.0536380185785888,10.0
taz.de,0.033333333333333326,0.14766704288891125,0.05,0.15811388300841897,10.0
www.giga.de,0.29154761904761906,0.16632950590664122,0.12842261904761904,0.159879334637066,8.0
www.chip.de,0.11852430555555553,0.35404198659347424,0.10069444444444445,0.11398805206735199,8.0
www.manager-magazin.de,-0.02583333333333333,0.1144734321432998,0.125,0.30618621784789724,6.0
www.ndr.de,0.03333333333333332,0.20514222708485286,0.0,0.0,5.0
www.jungewelt.de,0.1875,0.18874586088176873,0.0,0.0,4.0
www.freitag.de,0.07083333333333332,0.125,0.0,0.0,4.0
vorarlberg.orf.at,0.09,0.19765289440498124,0.025,0.05,4.0
tirol.orf.at,-0.10750000000000001,0.21313141485947112,0.10625000000000001,0.08260094833999587,4.0
de.euronews.com,0.029166666666666664,0.058333333333333334,0.041666666666666664,0.08333333333333333,4.0
www.finanzen.net,0.2023611111111111,0.39295974489903046,0.08333333333333333,0.16666666666666666,4.0
www.der-postillon.com,0.12916666666666665,0.15053915449821365,0.13333333333333333,0.16329931618554522,4.0
www.t-online.de,-0.17777777777777778,0.1575271875417536,0.125,0.21650635094610965,3.0
burgenland.orf.at,0.12142857142857143,0.10340133816684327,0.05714285714285714,0.05150787536377128,3.0
www.fitforfun.de,-0.06388888888888888,0.059121657371646555,0.1111111111111111,0.09622504486493763,3.0
web.de,-0.16666666666666666,0.15877132402714705,0.0,0.0,3.0
ooe.orf.at,-0.05703703703703705,0.21568605251853631,0.19444444444444442,0.1689656258416172,3.0
science.orf.at,-0.011777777777777781,0.13472001143661427,0.013333333333333334,0.023094010767585032,3.0
steiermark.orf.at,-0.08,0.15874507866387544,0.09523809523809523,0.1649572197684645,3.0
